issue,description,recommendation
price_slots_not_fixed_shops,"Các cột shop_1_price, shop_2_price, shop_3_price không đại diện cho các shop cố định mà là các price slots từ các nguồn bất kỳ. Vì vậy không thể so sánh trực tiếp shop_1, shop_2, shop_3 như ba cửa hàng cố định.",Diễn giải các cột này là price slots; chuyển dữ liệu sang long format khi cần phân tích theo shop_name thật; không kết luận shop nào đắt/rẻ hơn dựa trên shop_1/shop_2/shop_3.
price_domain_outliers,"Tồn tại một số giá trị giá nằm ngoài miền hợp lý của laptop, ví dụ các mức giá rất cao như 268.4M, 860M, 1629M hoặc 2750M VND. Các giá này có khả năng là lỗi crawl, lỗi parse hoặc listing không phù hợp.",Áp dụng domain filter ở cấp độ từng ô giá: null-out các giá < 3M hoặc > 200M; không xóa toàn bộ dòng nếu các nguồn giá khác vẫn hợp lệ.
price_relative_outliers,"Một số sản phẩm có một nguồn giá lệch mạnh so với hai nguồn còn lại, làm spread giữa các nguồn tăng cao. Đây thường là cell-level outlier hơn là lỗi của toàn bộ sản phẩm.","Sau domain filter, dùng median giá của từng dòng làm anchor; null-out giá nếu nhỏ hơn 0.5× hoặc lớn hơn 2× row median; sau đó tính lại giá tham chiếu từ các giá sạch."
price_spread_between_sources,"Sau khi lọc domain outlier, vẫn có nhiều sản phẩm có chênh lệch giá lớn giữa các nguồn. Spread median khoảng 10%, nhưng một số dòng có spread trên 30% hoặc 50%, có thể do khác biệt shop, khuyến mãi, bảo hành, cấu hình phụ hoặc listing chưa đồng nhất.",Không xóa toàn bộ các dòng có spread cao; tạo flag_price_spread_warn và flag_price_spread_critical để audit; ưu tiên dùng median thay vì mean để tổng hợp giá.
price_right_skewed_distribution,"Giá tham chiếu price_median có phân phối lệch phải, tập trung chủ yếu ở phân khúc thấp-trung nhưng vẫn có nhóm high-price tail gồm laptop cao cấp, gaming, workstation hoặc Apple cấu hình mạnh.",Dùng median/IQR để mô tả giá thay vì chỉ dùng mean; khi modeling nên cân nhắc log-transform target price_median để giảm ảnh hưởng của đuôi phải.
price_high_tail_valid_but_influential,"Nhóm giá cao sau cleaning phần lớn có cấu hình hợp lý như RAM 64GB-128GB, SSD từ 1TB đến >2TB, CPU/GPU cao cấp. Tuy nhiên nhóm này vẫn có thể ảnh hưởng mạnh đến mô hình do giá rất cao so với phần lớn dữ liệu.","Giữ lại nếu mục tiêu là bao phủ toàn bộ thị trường laptop mới; khi modeling có thể dùng log price, robust metrics, hoặc phân tích riêng high-end segment."
source_quality_variation,"Một số shop_name có tỷ lệ relative outlier cao hơn các nguồn khác, đặc biệt ở những nguồn có số quan sát ít. Điều này cho thấy chất lượng nguồn giá không hoàn toàn đồng nhất.","Không loại bỏ toàn bộ shop chỉ dựa trên tỷ lệ outlier nhỏ mẫu; dùng bảng source quality để audit nguồn, theo dõi các shop noisy và ưu tiên xử lý ở cấp độ từng ô giá."
screen_size_missing_values,"Cột Kích thước (inch) có một số giá trị thiếu. Sau khi clean và gom nhóm, có 96 dòng thuộc nhóm Unknown, bao gồm missing ban đầu và các giá trị bị loại do bất thường.",Không nên xóa dòng chỉ vì thiếu kích thước màn hình; gán nhóm 'Unknown' cho EDA/modeling hoặc suy luận lại từ title/spec nếu có dữ liệu bổ sung.
screen_size_outliers,"Tồn tại các giá trị kích thước màn hình lớn hơn 25 inch, không hợp lý với laptop và có khả năng là lỗi parse, lỗi crawl hoặc thông tin không thuộc trường kích thước màn hình.",Null-out các giá trị Kích thước (inch) > 25 hoặc <= 0 trước khi phân tích; kiểm tra thủ công nếu cần giữ lại các trường hợp đặc biệt.
screen_size_fragmentation,"Kích thước màn hình có nhiều giá trị chi tiết như 13.3, 13.4, 13.5, 14, 14.2, 15.3, 15.6, 16, 16.1, 16.2, 17.3, khiến phân tích theo từng giá trị đơn lẻ dễ bị phân mảnh.","Gom kích thước màn hình thành các nhóm như '<13in', '13-13.9in', '14-14.9in', '15-15.9in', '16-16.9in', '>=17in', và 'Unknown'."
screen_size_class_imbalance,"Phân phối kích thước màn hình không đồng đều. Dữ liệu tập trung chủ yếu ở nhóm 14-14.9 inch và 15-15.9 inch, trong khi các nhóm <13 inch và >=17 inch có ít mẫu hơn.","Khi so sánh giá theo screen size, cần chú ý số lượng mẫu từng nhóm; hạn chế kết luận mạnh với các nhóm có ít quan sát."
screen_size_price_confounding,"Giá có xu hướng cao hơn ở nhóm màn hình lớn, đặc biệt từ 16 inch trở lên, nhưng hiệu ứng này có thể bị nhiễu bởi cấu hình đi kèm như GPU, RAM, CPU, storage và brand.","Không kết luận màn hình lớn là nguyên nhân trực tiếp làm giá cao hơn; cần phân tích thêm theo tương tác với brand, GPU, RAM hoặc dùng mô hình đa biến."
brand_screen_interaction,"Median price theo screen size thay đổi rõ theo từng hãng. Ví dụ cùng nhóm 16-16.9 inch nhưng Apple và MSI có median price cao hơn nhiều so với HP, Lenovo hoặc Dell.","Giữ lại biến tương tác brand × screen_size_group trong EDA; khi modeling có thể dùng one-hot encoding cho brand và screen_size_group, hoặc thử interaction features nếu mô hình tuyến tính."
low_count_brand_screen_cells,"Một số tổ hợp brand × screen size có số lượng mẫu rất thấp, nên median price của các ô này không ổn định và dễ bị ảnh hưởng bởi outlier.","Chỉ hiển thị hoặc diễn giải các ô có số mẫu tối thiểu, ví dụ n >= 10; gom các brand hiếm vào 'Other' nếu cần."
cpu_brand_class_imbalance,"Phân phối CPU brand bị lệch mạnh về Intel. Intel chiếm khoảng 80.8% dữ liệu, trong khi AMD chiếm 13.1%, Apple 3.0%, Qualcomm 0.8% và Microsoft SQ 0.1%.","Khi phân tích hoặc modeling, cần lưu ý class imbalance; không nên so sánh mạnh các nhóm có quá ít mẫu như Qualcomm hoặc Microsoft SQ."
cpu_brand_unknown_values,"Sau khi cải thiện mapping CPU brand, vẫn còn 94 dòng thuộc nhóm Unknown. Phần lớn thiếu Công nghệ CPU, nhưng một số dòng vẫn có Loại CPU như 1240P, 12700H, 1135G7 hoặc 1115G4, có khả năng thuộc Intel.",Tiếp tục cải thiện mapping bằng cách suy luận brand từ Loại CPU; nếu không chắc chắn thì giữ nhóm Unknown thay vì gán sai.
cpu_model_high_cardinality,"Loại CPU có độ phân mảnh cao, nhiều model chỉ xuất hiện với số lượng nhỏ. Model phổ biến nhất cũng chỉ chiếm khoảng 5.4%, nên dùng trực tiếp Loại CPU có thể gây sparse features và overfitting.","Không nên dùng raw CPU model trực tiếp cho EDA/modeling; nên gom thành cpu_brand, cpu_tier hoặc generation/series nếu có rule đủ chắc."
cpu_tier_unknown_values,"Biến cpu_tier vẫn còn 304 dòng Unknown, cho thấy rule phân loại CPU tier chưa bao phủ hết các model hoặc thông tin CPU bị thiếu.",Audit các giá trị cpu_tier Unknown; mở rộng rule cho các mã CPU phổ biến hoặc giữ Unknown như một nhóm riêng trong modeling.
cpu_tier_price_confounding,"Giá tăng rõ theo cpu_tier, đặc biệt High-end có median price cao nhất. Tuy nhiên CPU tier thường đi kèm với RAM cao, GPU rời, storage lớn và brand cao cấp nên không thể xem CPU tier là nguyên nhân duy nhất làm giá tăng.","Khi phân tích giá, cần kết hợp cpu_tier với RAM, GPU, storage và brand; khi modeling nên dùng mô hình đa biến để kiểm soát các yếu tố đi kèm."
ram_capacity_missing_values,"Dung lượng RAM có rất ít missing sau cleaning, khoảng 23 dòng Unknown/missing. Tỷ lệ này thấp nhưng vẫn cần xử lý trước khi modeling.",Không nên xóa dòng chỉ vì thiếu RAM; gán nhóm Unknown hoặc impute nếu mô hình yêu cầu giá trị số.
ram_capacity_outliers_or_parse_errors,"Một số giá trị RAM bất thường như 512 hoặc 5600 có khả năng là lỗi parse hoặc bị nhầm với tốc độ RAM/thông số khác, không phải dung lượng RAM thực tế.",Null-out các giá trị RAM <= 0 hoặc > 256GB; kiểm tra thủ công các giá trị lạ nếu cần giữ lại.
ram_capacity_fragmentation,"Dung lượng RAM có một số mức không thuộc tier chính như 12GB, 18GB, 19GB, 24GB, 36GB hoặc 48GB. Một số giá trị là hợp lệ nhưng số lượng ít, dễ làm phân mảnh category.","Gom RAM thành các nhóm chính như ≤8GB, 16GB, 32GB, >32GB, Other và Unknown để phân tích ổn định hơn."
ram_tier_price_confounding,"RAM tier có quan hệ rất mạnh với price_median; giá tăng rõ từ ≤8GB lên 16GB, 32GB và >32GB. Tuy nhiên RAM cao thường đi kèm CPU/GPU/storage/brand cao cấp.","Giữ ram_tier_clean là feature quan trọng, nhưng khi diễn giải tác động đến giá cần kiểm soát thêm CPU tier, GPU tier, storage và brand."
