Column,Issue (với số liệu),Proposed Action
price,"Giá có phân phối lệch mạnh (right-skewed), tập trung ở phân khúc thấp-trung và có một số outlier giá rất cao; có khả năng tồn tại nhiễu do listing lỗi, spam hoặc sản phẩm đặc biệt",Áp dụng log transform khi modeling; kiểm tra và xử lý outlier (capping hoặc filtering); không dùng mean để mô tả
price_outliers,"Tồn tại các giá trị bất thường (quá thấp hoặc quá cao) có thể do lỗi nhập liệu, spam hoặc sản phẩm không cùng phân khúc hoặc rác dựa trên title",Dùng IQR hoặc percentile để detect; xử lý bằng clipping hoặc loại bỏ tùy use case
price_market_bias,"Giá phản ánh thị trường Việt Nam (second-hand, xách tay, thanh lý), không đại diện cho giá retail chính hãng toàn cầu",Không suy rộng kết luận ra thị trường quốc tế; model chỉ phù hợp với bối cảnh local
title,"Text tự do, giàu thông tin nhưng không đồng đều; ~91% có brand, ~58% có RAM, ~50% có storage, ~45% có CPU; tuy nhiên chỉ ~12–14% dòng missing có thể recover từ title → thông tin phân bố lệch và mang tính semi-structured","Giữ làm metadata; extract feature có kiểm soát (RAM/Storage/CPU); chỉ dùng để fill missing khi cần, không overwrite structured; xử lý bằng rule-based parsing, tránh regex đơn giản"
title_parsing,"Có ambiguity cao khi extract, đặc biệt RAM vs Storage (512GB, 256GB) và GPU VRAM; nhiều pattern dạng 16GB/512GB hoặc text không chuẩn → dễ false positive",Dùng parsing có ngữ cảnh (RAM keyword + valid values); ưu tiên pattern rõ ràng; validate trước khi dùng
title_recovery,"Khả năng fill missing thấp: CPU ~12%, RAM ~13%, Storage ~6% → title không phải nguồn chính để xử lý missing (missing not at random)",Chỉ dùng title như fallback; kết hợp imputation hoặc rule theo nhóm
title_consistency,"Có conflict đáng kể với structured columns (RAM ~188 rows, Storage ~96 rows) → text không đáng tin tuyệt đối",Không dùng title để overwrite dữ liệu có sẵn; chỉ dùng khi structured bị thiếu
title_structure,"Khoảng ~10% title có pattern dạng ""X/Y"" (8/256, 16/512) → dữ liệu mang tính semi-structured",Khai thác bằng parser riêng để tách RAM/Storage thay vì regex đơn giản
title_cpu_coverage,"Regex CPU chưa cover hết pattern (Core2 Duo, N-series, Intel/AMD generic) → miss một phần dữ liệu",Chấp nhận coverage không hoàn toàn; không rely 100% vào title cho CPU feature
brand_price_segment,"Phân bố giá theo brand không đồng đều; một số brand tập trung ở high/premium (MSI, Razer), trong khi brand khác chủ yếu ở low/mid (Dell, Acer); tuy nhiên các brand nhỏ (Honor, Xiaomi) có phân bố không ổn định do sample ít",Giữ brand làm feature chính; có thể tạo thêm feature segment (low/mid/high/premium); không rely vào distribution của brand nhỏ
brand_sample_bias,"Một số brand có số lượng listing rất thấp nhưng lại có tỷ lệ premium cao bất thường (ví dụ Honor), gây hiểu sai về positioning","Gộp brand tần suất thấp vào ""Other"" khi modeling; chỉ phân tích sâu các brand có đủ dữ liệu"
price_segment_skew,Phân bố giá theo brand bị lệch và không đồng đều giữa các phân khúc; nhiều brand có sự pha trộn giữa mid và high thay vì phân tách rõ ràng,"Không sử dụng hard rule để map brand → segment; để model tự học kết hợp với các feature khác (RAM, CPU, storage)"
brand_as_proxy,"Brand đóng vai trò proxy cho phân khúc giá và positioning sản phẩm, nhưng không phản ánh hoàn toàn do còn phụ thuộc vào cấu hình và tình trạng",Giữ brand trong model; kết hợp với spec features để tránh over-reliance vào brand
model_high_cardinality,"Cột Dòng máy có cardinality rất cao (458 unique), gây sparsity và khó encode trực tiếp","Tránh one-hot toàn bộ; sử dụng grouping, target encoding hoặc kết hợp với Hãng"
