issue_key,severity,affected_column,issue_group,issue_description,proposed_action,need_note_lookup,final_action,resolution_status
price_slots_not_fixed_shops,low,shop_*_price/price_median,price_related_issues,"Các cột shop_1_price, shop_2_price, shop_3_price không đại diện cho các shop cố định mà là các price slots từ các nguồn bất kỳ. Vì vậy không thể so sánh trực tiếp shop_1, shop_2, shop_3 như ba cửa hàng cố định.",Diễn giải các cột này là price slots; chuyển dữ liệu sang long format khi cần phân tích theo shop_name thật; không kết luận shop nào đắt/rẻ hơn dựa trên shop_1/shop_2/shop_3.,no,Documented; no deterministic cleaning required.,needs_manual_review
price_domain_outliers,high,shop_*_price/price_median,price_related_issues,"Tồn tại một số giá trị giá nằm ngoài miền hợp lý của laptop, ví dụ các mức giá rất cao như 268.4M, 860M, 1629M hoặc 2750M VND. Các giá này có khả năng là lỗi crawl, lỗi parse hoặc listing không phù hợp.",Áp dụng domain filter ở cấp độ từng ô giá: null-out các giá < 3M hoặc > 200M; không xóa toàn bộ dòng nếu các nguồn giá khác vẫn hợp lệ.,yes,Apply cell/field-level null-out or flag; do not drop whole products.,resolved
price_relative_outliers,high,shop_*_price/price_median,price_related_issues,"Một số sản phẩm có một nguồn giá lệch mạnh so với hai nguồn còn lại, làm spread giữa các nguồn tăng cao. Đây thường là cell-level outlier hơn là lỗi của toàn bộ sản phẩm.","Sau domain filter, dùng median giá của từng dòng làm anchor; null-out giá nếu nhỏ hơn 0.5× hoặc lớn hơn 2× row median; sau đó tính lại giá tham chiếu từ các giá sạch.",yes,Apply cell/field-level null-out or flag; do not drop whole products.,resolved
price_spread_between_sources,high,shop_*_price/price_median,price_related_issues,"Sau khi lọc domain outlier, vẫn có nhiều sản phẩm có chênh lệch giá lớn giữa các nguồn. Spread median khoảng 10%, nhưng một số dòng có spread trên 30% hoặc 50%, có thể do khác biệt shop, khuyến mãi, bảo hành, cấu hình phụ hoặc listing chưa đồng nhất.",Không xóa toàn bộ các dòng có spread cao; tạo flag_price_spread_warn và flag_price_spread_critical để audit; ưu tiên dùng median thay vì mean để tổng hợp giá.,no,Documented; no deterministic cleaning required.,needs_manual_review
price_right_skewed_distribution,low,shop_*_price/price_median,price_related_issues,"Giá tham chiếu price_median có phân phối lệch phải, tập trung chủ yếu ở phân khúc thấp-trung nhưng vẫn có nhóm high-price tail gồm laptop cao cấp, gaming, workstation hoặc Apple cấu hình mạnh.",Dùng median/IQR để mô tả giá thay vì chỉ dùng mean; khi modeling nên cân nhắc log-transform target price_median để giảm ảnh hưởng của đuôi phải.,no,Document as modeling guidance; keep engineered helper columns where useful.,needs_manual_review
price_high_tail_valid_but_influential,low,shop_*_price/price_median,price_related_issues,"Nhóm giá cao sau cleaning phần lớn có cấu hình hợp lý như RAM 64GB-128GB, SSD từ 1TB đến >2TB, CPU/GPU cao cấp. Tuy nhiên nhóm này vẫn có thể ảnh hưởng mạnh đến mô hình do giá rất cao so với phần lớn dữ liệu.","Giữ lại nếu mục tiêu là bao phủ toàn bộ thị trường laptop mới; khi modeling có thể dùng log price, robust metrics, hoặc phân tích riêng high-end segment.",yes,Document as modeling guidance; keep engineered helper columns where useful.,needs_manual_review
source_quality_variation,high,,price_related_issues,"Một số shop_name có tỷ lệ relative outlier cao hơn các nguồn khác, đặc biệt ở những nguồn có số quan sát ít. Điều này cho thấy chất lượng nguồn giá không hoàn toàn đồng nhất.","Không loại bỏ toàn bộ shop chỉ dựa trên tỷ lệ outlier nhỏ mẫu; dùng bảng source quality để audit nguồn, theo dõi các shop noisy và ưu tiên xử lý ở cấp độ từng ô giá.",no,Apply cell/field-level null-out or flag; do not drop whole products.,resolved
screen_size_missing_values,high,Kích thước (inch),price_related_issues,"Cột Kích thước (inch) có một số giá trị thiếu. Sau khi clean và gom nhóm, có 96 dòng thuộc nhóm Unknown, bao gồm missing ban đầu và các giá trị bị loại do bất thường.",Không nên xóa dòng chỉ vì thiếu kích thước màn hình; gán nhóm 'Unknown' cho EDA/modeling hoặc suy luận lại từ title/spec nếu có dữ liệu bổ sung.,yes,Document as modeling guidance; keep engineered helper columns where useful.,needs_manual_review
screen_size_outliers,high,Kích thước (inch),price_related_issues,"Tồn tại các giá trị kích thước màn hình lớn hơn 25 inch, không hợp lý với laptop và có khả năng là lỗi parse, lỗi crawl hoặc thông tin không thuộc trường kích thước màn hình.",Null-out các giá trị Kích thước (inch) > 25 hoặc <= 0 trước khi phân tích; kiểm tra thủ công nếu cần giữ lại các trường hợp đặc biệt.,yes,Apply cell/field-level null-out or flag; do not drop whole products.,resolved
screen_size_fragmentation,high,Kích thước (inch),price_related_issues,"Kích thước màn hình có nhiều giá trị chi tiết như 13.3, 13.4, 13.5, 14, 14.2, 15.3, 15.6, 16, 16.1, 16.2, 17.3, khiến phân tích theo từng giá trị đơn lẻ dễ bị phân mảnh.","Gom kích thước màn hình thành các nhóm như '<13in', '13-13.9in', '14-14.9in', '15-15.9in', '16-16.9in', '>=17in', và 'Unknown'.",yes,Keep Unknown/tier flags instead of dropping rows.,partially_resolved
