area,finding,evidence_file,decision,next_action
Feature audit,"Identified 0 leakage candidates, 0 ID-like, 0 constants → 0 dropped in v0",feature_quality_flags.csv,Drop all leakage/ID/constant columns before modelling,Verify MANUAL_KEEP list; add domain-specific overrides if needed
Error case review,Previous prediction errors reviewed; Premium underprediction and Low overprediction documented,review_top_premium_underprediction_*.csv / review_top_low_overprediction_*.csv,Track these patterns after feature selection,Re-check segment metrics after each experiment
High-error feature audit,Generated 10 high-error feature audit files for manual feature review,high_error_feature_snapshot_* / high_error_feature_flags_* / high_error_feature_contrast_*,Use as evidence before manually dropping or transforming features,Inspect flagged feature values and group summaries for Premium/Low error cases
Baseline clean,target_price: MAE=4  MAPE=0.332,baseline_clean_metrics_by_target.csv,Use as reference for all downstream experiments,Compare against feature-set and ablation results
Baseline clean,log_target_price: MAE=3  MAPE=0.287,baseline_clean_metrics_by_target.csv,Use as reference for all downstream experiments,Compare against feature-set and ablation results
Feature importance,log_target_price: top group = other,model_based_group_importance_by_target.csv,Prioritise top groups; consider removing zero-importance groups,Cross-check with permutation importance
Feature importance,target_price: top group = other,model_based_group_importance_by_target.csv,Prioritise top groups; consider removing zero-importance groups,Cross-check with permutation importance
Group ablation,log_target_price: dropping 'brand' raises MAE by 0,group_ablation_results_by_target.csv,Keep the most impactful groups in final feature set,Evaluate effect on Premium/Low segments separately
Group ablation,target_price: dropping 'cpu' raises MAE by 0,group_ablation_results_by_target.csv,Keep the most impactful groups in final feature set,Evaluate effect on Premium/Low segments separately
Candidate feature sets,log_target_price: best set = all_features  MAE=3  n=76,candidate_feature_set_results.csv,Use all_features as starting point for tuning,Finalise in SELECTED_FEATURES_V1 and pass to next notebook
Candidate feature sets,target_price: best set = all_features  MAE=4  n=76,candidate_feature_set_results.csv,Use all_features as starting point for tuning,Finalise in SELECTED_FEATURES_V1 and pass to next notebook
Segment-aware strategy,Segment weighting experiments completed; review Premium/Low segment metrics to decide if weighting helps,segment_weight_results.csv,Choose weight config that best improves Premium/Low without hurting global MAE,Apply chosen weight config in tuning notebook
