issue_key,severity,affected_column,issue_group,issue_description,proposed_action,need_note_lookup,final_action,resolution_status
price,high,price,outliers,"Giá có phân phối lệch mạnh (right-skewed), tập trung ở phân khúc thấp-trung và có một số outlier giá rất cao; có khả năng tồn tại nhiễu do listing lỗi, spam hoặc sản phẩm đặc biệt",Áp dụng log transform khi modeling; kiểm tra và xử lý outlier (capping hoặc filtering); không dùng mean để mô tả,yes,Leave for modeling; document as modeling decision.,needs_manual_review
price_outliers,high,price,outliers,"Tồn tại các giá trị bất thường (quá thấp hoặc quá cao) có thể do lỗi nhập liệu, spam hoặc sản phẩm không cùng phân khúc hoặc rác dựa trên title",Dùng IQR hoặc percentile để detect; xử lý bằng clipping hoặc loại bỏ tùy use case,yes,Create explicit flags; do not drop uncertain rows.,partially_resolved
price_market_bias,medium,price,price_related_issues,"Giá phản ánh thị trường Việt Nam (second-hand, xách tay, thanh lý), không đại diện cho giá retail chính hãng toàn cầu",Không suy rộng kết luận ra thị trường quốc tế; model chỉ phù hợp với bối cảnh local,no,Document local-market scope; no row-level cleaning.,needs_manual_review
title,high,title,missing_null_empty_values,"Text tự do, giàu thông tin nhưng không đồng đều; ~91% có brand, ~58% có RAM, ~50% có storage, ~45% có CPU; tuy nhiên chỉ ~12–14% dòng missing có thể recover từ title → thông tin phân bố lệch và mang tính semi-structured","Giữ làm metadata; extract feature có kiểm soát (RAM/Storage/CPU); chỉ dùng để fill missing khi cần, không overwrite structured; xử lý bằng rule-based parsing, tránh regex đơn giản",yes,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
title_parsing,low,title,text_normalization_specs_parsing,"Có ambiguity cao khi extract, đặc biệt RAM vs Storage (512GB, 256GB) và GPU VRAM; nhiều pattern dạng 16GB/512GB hoặc text không chuẩn → dễ false positive",Dùng parsing có ngữ cảnh (RAM keyword + valid values); ưu tiên pattern rõ ràng; validate trước khi dùng,no,Documented; no deterministic cleaning required.,needs_manual_review
title_recovery,high,title,missing_null_empty_values,"Khả năng fill missing thấp: CPU ~12%, RAM ~13%, Storage ~6% → title không phải nguồn chính để xử lý missing (missing not at random)",Chỉ dùng title như fallback; kết hợp imputation hoặc rule theo nhóm,yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
title_consistency,low,title,missing_null_empty_values,"Có conflict đáng kể với structured columns (RAM ~188 rows, Storage ~96 rows) → text không đáng tin tuyệt đối",Không dùng title để overwrite dữ liệu có sẵn; chỉ dùng khi structured bị thiếu,no,Create missing indicators and conservative fallback extraction where supported.,partially_resolved
title_structure,low,title,text_normalization_specs_parsing,"Khoảng ~10% title có pattern dạng ""X/Y"" (8/256, 16/512) → dữ liệu mang tính semi-structured",Khai thác bằng parser riêng để tách RAM/Storage thay vì regex đơn giản,yes,Apply conservative parser; never overwrite structured non-null values.,partially_resolved
title_cpu_coverage,low,title,text_normalization_specs_parsing,"Regex CPU chưa cover hết pattern (Core2 Duo, N-series, Intel/AMD generic) → miss một phần dữ liệu",Chấp nhận coverage không hoàn toàn; không rely 100% vào title cho CPU feature,yes,Documented; no deterministic cleaning required.,needs_manual_review
brand_price_segment,medium,price,price_related_issues,"Phân bố giá theo brand không đồng đều; một số brand tập trung ở high/premium (MSI, Razer), trong khi brand khác chủ yếu ở low/mid (Dell, Acer); tuy nhiên các brand nhỏ (Honor, Xiaomi) có phân bố không ổn định do sample ít",Giữ brand làm feature chính; có thể tạo thêm feature segment (low/mid/high/premium); không rely vào distribution của brand nhỏ,no,Preserve as feature or helper signal in cleaned dataset.,resolved
brand_sample_bias,medium,Hãng,outliers,"Một số brand có số lượng listing rất thấp nhưng lại có tỷ lệ premium cao bất thường (ví dụ Honor), gây hiểu sai về positioning","Gộp brand tần suất thấp vào ""Other"" khi modeling; chỉ phân tích sâu các brand có đủ dữ liệu",no,Leave for modeling; document as modeling decision.,needs_manual_review
price_segment_skew,low,price,price_related_issues,Phân bố giá theo brand bị lệch và không đồng đều giữa các phân khúc; nhiều brand có sự pha trộn giữa mid và high thay vì phân tách rõ ràng,"Không sử dụng hard rule để map brand → segment; để model tự học kết hợp với các feature khác (RAM, CPU, storage)",no,Preserve as feature or helper signal in cleaned dataset.,resolved
brand_as_proxy,low,Hãng,price_related_issues,"Brand đóng vai trò proxy cho phân khúc giá và positioning sản phẩm, nhưng không phản ánh hoàn toàn do còn phụ thuộc vào cấu hình và tình trạng",Giữ brand trong model; kết hợp với spec features để tránh over-reliance vào brand,no,Preserve as feature or helper signal in cleaned dataset.,resolved
